State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured
Wyoming	2012	358028	199960	28610	3116	17027	73831
Alabama	2013	2945466	1538946	206022	63700	194642	593425
Alaska	2013	459776	240647	15534	2409	29233	109445
Arizona	2013	3900900	1927982	271609	45650	406884	917421
Arkansas	2013	1759900	861423	113111	44719	116578	424024
California	2013	23976518	12219933	1870418	204669	2401040	5743547
Colorado	2013	3304940	1821354	316251	27470	214139	622927
Connecticut	2013	2235695	1390606	150628	23431	229069	294202
Delaware	2013	565138	337546	24387	8676	67060	72726
District of Columbia	2013	453153	259605	35423	2942	72015	39401
Florida	2013	11646895	5388322	896595	165986	856740	3348787
Georgia	2013	6151890	3170278	377556	78527	346333	1592629
Hawaii	2013	822542	495825	49455	7205	74453	79261
Idaho	2013	946943	488391	92552	9766	45797	217465
Illinois	2013	8010771	4718571	521476	83637	695321	1470890
Indiana	2013	4008950	2361439	235721	55306	270904	768940
Iowa	2013	1868852	1181905	164530	13802	133310	216471
Kansas	2013	1730369	1026731	143589	17160	70386	302572
Kentucky	2013	2687179	1453331	145310	62002	199040	554504
Louisiana	2013	2825101	1411019	182468	44087	235413	682349
Maine	2013	825507	442336	44933	9126	102896	131236
Maryland	2013	3722201	2302902	228221	34108	278620	523097
Massachusetts	2013	4272843	2758710	293494	25169	623726	222069
Michigan	2013	6096761	3531044	387339	67029	606633	974008
Minnesota	2013	3357171	2160999	274990	24005	296194	364258
Mississippi	2013	1790746	849311	94017	34196	157828	442781
Missouri	2013	3666019	2114296	253805	57152	217192	670830
Montana	2013	616125	314173	59070	6477	31442	141402
Nebraska	2013	1125425	672291	108102	9363	44594	181380
Nevada	2013	1719885	921305	84137	19731	77036	463537
New Hampshire	2013	842880	553820	52249	10704	34816	129771
New Jersey	2013	5528837	3479409	290070	57211	354682	1028693
New Mexico	2013	1243353	540348	75190	20607	138699	334560
New York	2013	12439975	7094936	670615	125180	1760963	1871476
North Carolina	2013	6000202	3054558	473581	88262	403299	1356819
North Dakota	2013	451304	277360	47518	2894	15588	60388
Ohio	2013	7072114	4281117	387982	103438	661943	1107664
Oklahoma	2013	2295734	1167076	141263	42576	141968	567024
Oregon	2013	2440752	1312008	189870	26577	189285	518195
Pennsylvania	2013	7849516	4905243	537180	85479	623726	1063229
Rhode Island	2013	668448	394825	45398	7453	55848	108369
South Carolina	2013	2893842	1488260	157885	48012	212888	662340
South Dakota	2013	501769	275845	57161	4815	24721	79632
Tennessee	2013	3983560	2103337	266827	69522	341915	796666
Texas	2013	16065579	8048342	889396	170215	860253	4801933
Utah	2013	1701705	1043587	131363	12515	74943	315132
Vermont	2013	397726	229664	25511	4265	60081	40764
Virginia	2013	5112923	2942796	351277	71883	210217	877595
Washington	2013	4339199	2438505	319981	39784	260263	857900
West Virginia	2013	1132703	604382	40015	26462	106437	234112
Wisconsin	2013	3544103	2216422	233075	29142	319957	453981
Wyoming	2013	358526	216771	24884	2482	9975	68855
Alabama	2014	2935367	1566977	230176	60790	200928	532900
Alaska	2014	456278	226871	24808	1820	30596	99446
Arizona	2014	3944492	1975003	325299	51043	526114	728386
Arkansas	2014	1762235	890527	141773	40291	192970	307576
California	2014	24264509	12644131	2255073	216164	3348279	4193432
Colorado	2014	3356310	1892675	343154	28268	325825	465925
Connecticut	2014	2233736	1388088	184757	22101	288079	212229
Delaware	2014	567790	345996	31277	9495	68261	59478
District of Columbia	2014	461152	257537	42985	2364	87233	30954
